"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Aug 07 22:29:02 GMT 2024","Wed Aug 07 22:29:02 GMT 2024","0","ui","playwright_test","","","","No runnable",""
"passed","Wed Aug 07 22:29:02 GMT 2024","Wed Aug 07 22:29:03 GMT 2024","389","ui","todos_test","","","","test_todos",""
"failed","Wed Aug 07 22:29:03 GMT 2024","Wed Aug 07 22:29:06 GMT 2024","3135","ui","you_tube_test","TestYouTube","","","Youtube search",""
