"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 07 22:59:12 GMT 2024","Wed Aug 07 22:59:17 GMT 2024","5060","ui","you_tube_test","TestYouTube","","","Youtube search",""
"passed","Wed Aug 07 22:59:11 GMT 2024","Wed Aug 07 22:59:11 GMT 2024","37","api_tests","api_test","","","","Cat Fact API",""
"skipped","Wed Aug 07 22:59:11 GMT 2024","Wed Aug 07 22:59:11 GMT 2024","0","ui","playwright_test","","","","No runnable",""
"passed","Wed Aug 07 22:59:11 GMT 2024","Wed Aug 07 22:59:12 GMT 2024","352","ui","todos_test","","","","test_todos",""
