"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Aug 08 20:56:01 GMT 2024","Thu Aug 08 20:56:04 GMT 2024","2967","ui","you_tube_test","TestYouTube","","","Youtube search",""
"passed","Thu Aug 08 20:56:01 GMT 2024","Thu Aug 08 20:56:01 GMT 2024","334","ui","todos_test","","","","test_todos",""
"passed","Thu Aug 08 20:56:00 GMT 2024","Thu Aug 08 20:56:00 GMT 2024","61","api_tests","api_test","","","","Cat Fact API",""
"skipped","Thu Aug 08 20:56:00 GMT 2024","Thu Aug 08 20:56:00 GMT 2024","0","ui","playwright_test","","","","No runnable",""
