"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Aug 07 22:40:42 GMT 2024","Wed Aug 07 22:40:42 GMT 2024","0","ui","playwright_test","","","","No runnable",""
"passed","Wed Aug 07 22:40:42 GMT 2024","Wed Aug 07 22:40:43 GMT 2024","503","ui","todos_test","","","","test_todos",""
"passed","Wed Aug 07 22:40:43 GMT 2024","Wed Aug 07 22:40:48 GMT 2024","4878","ui","you_tube_test","TestYouTube","","","Youtube search",""
